,Day +1,Day +2,Day +7,Day +28,Day +63
2018-03-18,-0.13704330805536813,-1.7816327113872177,-0.09135930092577382,-4.339876117310752,5.390590854624662
2018-05-07,-7.337526088090399,-9.140462349298474,-4.276731410688612,3.2704350810111293,19.119494310303153
2018-08-03,0.19920140860098456,-7.2377166149882015,-0.8964158374523521,6.341294445037235,-4.482072854763203
2018-11-12,0.7183981413215719,2.059388517523246,-1.6283441518432369,7.136023651124006,20.97701745288012
2019-03-06,-1.2903231410462865,-0.7969676993590014,1.442122031367532,-10.360529422064687,-12.409868730261024
2019-05-11,-2.4219774897319013,-5.356309526358331,-3.8192814208157557,-14.531900473532417,-4.2384717117623865
2019-08-11,3.5986905230149517,13.631406647765118,11.014179067379317,11.668480762506817,20.174485998667564
2019-11-10,-1.353636645880556,3.2994953755669485,2.199663583711313,-8.629437651643897,-6.091364906462459
2020-03-05,0.7518753861753567,-10.676692149847895,-28.872181184350183,-72.33082696253803,-43.30827177652529
2020-05-10,-4.166662770938174,-1.9607824804414946,-19.36274452513797,36.76470656983443,-20.34313576535871
2021-03-04,3.482583759946408,-1.6169168539517784,-6.094524545311458,0.12438095683189943,19.402990385800393
2021-05-08,-3.3732261163982855,-2.9379707988854307,-6.420013338988269,12.948863856291752,-6.420013338988269
2022-03-10,-10.038119102169546,-11.944092387412809,-8.640404551801538,-25.412960979451398,-33.92630387699515
2022-05-06,-2.247188861267716,-3.370787118845044,-16.532908614044104,-2.8892428216299066,-21.02728633657952
2022-08-08,4.406130810688055,7.088129832715097,57.66283281659227,41.76245963212469,8.620695482552378
2022-11-11,-0.9819957687141567,-13.747956370415523,-11.94762689233525,-15.548285848495809,-15.71194790784385
