,Day +1,Day +2,Day +7,Day +28,Day +63
CDE,0.8333333333333334,3.185185185185185,7.166666666666667,13.87037037037037,22.64814814814815
AMR,2.25,5.75,7.75,14.75,24.5
CMC,0.8958333333333334,2.125,3.8958333333333335,5.875,11.875
PCT,1.5,10.75,22.0,18.75,16.0
LXU,0.9428571428571428,4.371428571428571,9.8,15.942857142857143,20.4
DRD,0.8,4.2,7.2,12.4,11.0
CMP,0.43902439024390244,1.7560975609756098,3.2195121951219514,4.2682926829268295,7.878048780487805
CBT,0.35,1.425,2.2,6.3,8.95
EMN,0.3191489361702128,1.2765957446808511,2.4680851063829787,5.319148936170213,7.51063829787234
AXTA,0.5833333333333334,1.4583333333333333,2.625,6.75,9.041666666666666
BERY,0.34210526315789475,1.631578947368421,2.526315789473684,5.2631578947368425,6.684210526315789
TROX,0.6774193548387096,2.5806451612903225,7.193548387096774,13.806451612903226,18.06451612903226
NEXA,1.0,3.5,3.0,11.5,27.0
HAYN,0.4642857142857143,3.0,4.821428571428571,9.321428571428571,10.821428571428571
BIOX,2.75,1.5,2.0,8.75,22.75
SMG,0.3,1.725,2.5,4.5,7.4
HL,1.0188679245283019,3.0377358490566038,7.735849056603773,12.641509433962264,20.566037735849058
MUX,0.8,2.96,6.84,11.44,22.0
NEU,0.07894736842105263,0.7368421052631579,1.6578947368421053,3.8947368421052633,4.631578947368421
IPI,1.16,4.96,8.6,12.7,18.82
TRS,1.0810810810810811,2.5945945945945947,4.405405405405405,7.27027027027027,11.135135135135135
SLGN,0.5238095238095238,0.6904761904761905,1.5476190476190477,2.857142857142857,4.404761904761905
PTVE,1.0,1.0,2.0,0.0,8.0
RYI,1.0,4.12,9.04,17.88,31.88
KRO,0.6,2.6,6.2,10.8,17.6
TSE,0.64,2.92,5.2,9.4,13.32
SEE,0.32727272727272727,1.490909090909091,2.2363636363636363,6.4363636363636365,7.8
VVV,0.29411764705882354,0.9411764705882353,1.6470588235294117,3.7058823529411766,7.117647058823529
SXT,0.34375,0.96875,2.4375,4.40625,6.5
CCK,0.25,1.0454545454545454,2.0681818181818183,4.454545454545454,6.386363636363637
PACK,1.3333333333333333,6.666666666666667,15.666666666666666,18.333333333333332,35.666666666666664
CLF,0.9375,3.5625,6.770833333333333,15.708333333333334,24.145833333333332
GEF,0.5641025641025641,1.9487179487179487,2.9743589743589745,5.82051282051282,8.128205128205128
BVN,0.32,1.8,3.88,9.24,14.84
SCHN.SW,0.0975609756097561,0.5121951219512195,1.4390243902439024,2.731707317073171,5.487804878048781
LPX,0.9818181818181818,2.9272727272727272,4.454545454545454,10.8,19.472727272727273
MERC,0.8648648648648649,1.8108108108108107,3.4054054054054053,7.513513513513513,12.837837837837839
HUN,0.8148148148148148,2.2777777777777777,3.6666666666666665,8.166666666666666,16.25925925925926
CENX,1.4655172413793103,5.172413793103448,8.482758620689655,18.413793103448278,24.24137931034483
OEC,1.3043478260869565,2.0,4.608695652173913,9.73913043478261,10.91304347826087
BCPC,0.375,1.85,2.85,5.675,7.8
KOP,0.42857142857142855,3.142857142857143,4.457142857142857,7.8,12.82857142857143
TX,0.5,1.5769230769230769,3.769230769230769,8.076923076923077,12.307692307692308
MTRN,0.4,1.8285714285714285,3.857142857142857,7.285714285714286,8.742857142857142
ECVT,1.0,2.0,12.2,10.2,14.8
IOSP,0.28125,1.59375,3.25,6.125,11.09375
LOMA,9.142857142857142,11.285714285714286,17.0,21.571428571428573,23.428571428571427
KALU,0.3,1.325,2.675,5.525,7.2
CSTM,0.8620689655172413,4.137931034482759,5.517241379310345,12.206896551724139,13.448275862068966
SUM,0.45,1.85,2.65,7.15,11.2
SLVM,1.0,3.0,5.333333333333333,13.333333333333334,4.0
AMBP,0.3333333333333333,3.0,5.0,8.0,14.333333333333334
AVD,0.7631578947368421,2.736842105263158,4.7894736842105265,6.973684210526316,10.368421052631579
MYE,0.27586206896551724,2.3448275862068964,3.8275862068965516,6.0344827586206895,9.689655172413794
MP,2.875,7.125,10.625,10.5,18.125
GSM,1.5483870967741935,4.161290322580645,5.741935483870968,12.064516129032258,18.483870967741936
ASPN,1.7586206896551724,3.310344827586207,4.620689655172414,9.862068965517242,17.482758620689655
HCC,1.65,4.6,3.4,11.9,12.8
AA,1.0666666666666667,3.1666666666666665,4.916666666666667,9.416666666666666,17.416666666666668
GPK,0.37735849056603776,2.2264150943396226,2.830188679245283,5.830188679245283,10.962264150943396
ESI,0.7777777777777778,2.3333333333333335,3.5555555555555554,9.444444444444445,9.88888888888889
TMST,1.0,4.857142857142857,6.285714285714286,12.904761904761905,14.666666666666666
ASH,0.4,1.05,2.05,4.3,8.9
RGLD,0.41025641025641024,2.1794871794871793,3.3076923076923075,6.923076923076923,11.717948717948717
SCL,0.12121212121212122,1.2121212121212122,2.787878787878788,4.636363636363637,7.151515151515151
ATR,0.1,0.7,1.45,2.325,3.8
CC,0.5555555555555556,2.388888888888889,6.166666666666667,16.22222222222222,22.833333333333332
CRS,0.8461538461538461,2.1153846153846154,3.75,8.576923076923077,12.653846153846153
ATI,1.0784313725490196,2.372549019607843,4.980392156862745,10.411764705882353,15.490196078431373
KWR,0.34375,1.4375,2.4375,7.28125,11.5625
FF,0.3333333333333333,2.8333333333333335,2.4166666666666665,6.083333333333333,13.083333333333334
FMC,0.2826086956521739,1.1956521739130435,2.8043478260869565,6.065217391304348,8.91304347826087
DNA,6.8,9.2,12.8,14.0,32.2
WOR,0.4,2.4,2.5714285714285716,6.8,10.914285714285715
AVNT,1.0,0.5,1.5,15.5,26.0
