,Day +1,Day +2,Day +7,Day +28,Day +63
2021-05-10,-3,2,0,4,39
2021-11-03,2,0,-1,-5,-28
2022-02-09,-2,0,9,-31,-28
2022-05-03,-1,2,-22,-21,-22
2022-08-02,0,7,1,-20,-13
